name;lat;lon;value
Fichtelberg;50,428295;12,953583;2,6
Weilmünster;50,428377;8,380557;12,6
Carlsfeld;50,431251;12,611421;6,1
Föritztal-Neuenbau;50,440958;11,240055;12,1
Lobenstein, Bad;50,450456;11,63497;3,3
Münzenberg-Gambach;50,452232;8,731695;4,9
Ostheim v.d. Rhön;50,453837;10,221065;2,6
Plauen;50,481832;12,130043;0,2
Wasserkuppe;50,497265;9,942732;5,8
Neuhaus am Rennweg;50,500253;11,13446;13,5
Kall-Sistig;50,50141;6,526408;3,5
Schleusingen;50,507059;10,76198;5,8
Hoherodskopf/Vogelsberg;50,508396;9,224634;13,6
Waldbrunn-Lahr;50,512141;8,132635;15
Ludwigsstadt-Lauenstein;50,513104;11,36639;5,4
Monschau-Kalterherberg;50,520211;6,208439;20,6
Raschau;50,521942;12,828233;0,3
Remptendorf;50,527522;11,660464;0,6
Birx/Rhön;50,53092;10,047947;9,4
Neuenahr, Bad-Ahrweiler;50,534561;7,085337;1,8
Stützengrün-Hundshübel;50,546611;12,570627;0,9
Treuen;50,5467;12,2863;1
Katzhütte;50,546722;11,031723;15,2
Meiningen;50,561131;10,377137;3
Löhnberg-Obershausen;50,561656;8,238629;17,1
Hümmerich;50,565053;7,484345;21,2
Fulda-Horas;50,566786;9,653221;3,6
Schleiz;50,567906;11,804085;0
Aßlar Klein-Altenstädten;50,579959;8,468468;6,8
Marienberg-Rübenau;50,580331;13,296614;0,5
Aue;50,590826;12,713873;0,1
Ilmenau-Frauenwald;50,592106;10,857519;14,6
Gießen/Wettenberg;50,601715;8,643898;5
Tannenberg;50,607392;12,938954;0,1
Petersberg-Marbach;50,617521;9,724971;4
Deutschneudorf-Brüderwiese;50,619956;13,481701;1
Driedorf;50,63159;8,181266;18,1
Tann/Rhön;50,639028;10,022846;7,4
Schwarzburg;50,64406;11,193618;1,2
Marienberg;50,651055;13,146876;0,3
Schmücke;50,654518;10,769601;6,5
Langenwetzendorf-Göttendorf;50,661003;12,075583;1,2
Marienberg, Bad;50,662061;7,960264;13,9
Nideggen-Schmidt;50,674261;6,423998;8,8
Krölpa-Rockendorf;50,681954;11,515024;0
Lichtentanne;50,68786;12,432937;0,2
Weilerswist-Lommersum;50,711886;6,790489;1,3
Geisa;50,713334;9,953936;6,4
Schmieritz-Weltwitz;50,728119;11,783769;1,9
Königswinter-Heiderhof;50,729285;7,204024;13,4
Zinnwald-Georgenfeld;50,731347;13,751612;1,7
Martinroda;50,733481;10,881516;5,8
Hilgenroth;50,737016;7,652531;16,7
